 13.30,130.24,  0.00
 13.39,110.98,  0.00
 13.44,102.66,  0.00
 13.51,103.65,  0.00
 13.58,105.70,  0.00
 13.64,108.53,  0.00
 13.72,124.16,  0.00
 13.77,126.51,  0.00
 13.84,133.50,  0.00
 13.92,131.66,  0.00
 13.97,166.73,  0.00
 14.04,153.25,  0.00
 14.11,131.02,  0.00
 14.17,139.30,  0.00
 14.26,123.33,  0.00
 14.31,133.32,  0.00
 14.38,103.18,  0.00
 14.45, 86.49,  0.00
 14.51, 90.19,  0.00
 14.58, 96.77,  0.00
 14.64,104.69,  0.00
 14.71,153.03,  0.00
 14.79,155.45,  0.00
 14.84,211.45,  0.00
 14.91,248.66,  0.00
 14.98,254.66,  0.00
 15.05,296.62,  0.00
 15.13,208.32,  0.00
 15.18,249.89,  0.00
 15.25,281.70,  0.00
 15.31,227.10,  0.00
 15.39,209.29,  0.00
 15.45,386.17,  0.00
 15.51,334.09,  0.00
 15.58,394.03,  0.00
 15.66,359.29,  0.00
 15.72,393.59,  0.00
 15.78,379.64,  0.00
 15.85,245.36,  0.00
 15.93,437.92,  0.00
 15.98,336.64,  0.00
 16.05,324.29,  0.00
 16.12,276.94,  0.00
 16.20,206.65,  0.00
 16.25,161.89,  0.00
 16.32,141.09,  0.00
 16.39,137.15,  0.00
 16.45,126.04,  0.00
 16.53,137.55,  0.00
 16.59,137.38,  0.00
 16.65,136.67,  0.00
 16.72,155.68,  0.00
 16.80,154.65,  0.00
 16.85,161.46,  0.00
 16.92,197.88,  0.00
 16.99,177.22,  0.00
 17.06,166.53,  0.00
 17.14,217.80,  0.00
 17.19,150.06,  0.00
 17.26,139.71,  0.00
 17.32,147.53,  0.00
 17.41,159.03,  0.00
 17.46,167.49,  0.00
 17.52,188.65,  0.00
 17.59,188.59,  0.00
 17.67,161.06,  0.00
 17.73,191.12,  0.00
 17.79,121.27,  0.00
 17.86,169.33,  0.00
 17.94,193.71,  0.00
 18.00,161.32,  0.00
 18.06,160.27,  0.00
 18.13,178.00,  0.00
 18.19,173.55,  0.00
 18.27,199.25,  0.00
 18.33,187.81,  0.00
 18.40,152.39,  0.00
 18.46,173.12,  0.00
 18.54,298.77,  0.00
 18.60,255.36,  0.00
 18.66,244.20,  0.00
 18.73,249.95,  0.00
 18.81,246.53,  0.00
 18.86,202.04,  0.00
 18.93,111.83,  0.00
 19.00, 67.49,  0.00
 19.07,196.83,  0.00
 19.15, 99.62,  0.00
 19.20,164.53,  0.00
 19.27,199.79,  0.00
 19.35,106.63,  0.00
 19.40, 66.30,  0.00
 19.47,100.57,  0.00
 19.53, 65.00,  0.00
 19.60,117.25,  0.00
 19.68,183.95,  0.00
 19.74,170.38,  0.00
 19.80,131.60,  0.00
 19.87, 41.14,  0.00
 19.95,215.18,  0.00
 20.00,224.26,  0.00
 20.07,198.47,  0.00
 20.14,199.53,  0.00
 20.20,234.51,  0.00
 20.29,224.90,  0.00
 20.34,236.57,  0.00
 20.41,237.40,  0.00
 20.47,266.98,  0.00
 20.55,198.71,  0.00
 20.61,149.51,  0.00
 20.67,148.01,  0.00
 20.74, 65.52,  0.00
 20.82, 40.39,  0.00
 20.87,107.60,  0.00
 20.94, 21.71,  0.00
 21.01, 10.49,  0.00
 21.08, 29.40,  0.00
 21.16, 13.74,  0.00
 21.22, 19.43,  0.00
 21.28,  4.39,  0.00
 21.34, 23.83,  0.00
 21.42, 11.08,  0.00
 21.48, 12.48,  0.00
 21.54,179.93,  0.00
 21.61,183.20,  0.00
 21.69,196.48,  0.00
 21.75,186.99,  0.00
 21.81,192.74,  0.00
 21.88,167.22,  0.00
 21.95,196.25,  0.00
 22.03,164.47,  0.00
 22.08,126.76,  0.00
 22.15,100.98,  0.00
 22.21,236.05,  0.00
 22.30,158.74,  0.00
 22.35,155.83,  0.00
 22.42,219.66,  0.00
 22.48,158.68,  0.00
 22.56,165.05,  0.00
 22.62,217.35,  0.00
 22.68, 93.86,  0.00
 22.75,137.19,  0.00
 22.83,192.88,  0.00
 22.89,279.60,  0.00
 22.95, 44.51,  0.00
 23.02,224.18,  0.00
 23.09,240.59,  0.00
 23.17,235.95,  0.00
 23.22,284.22,  0.00
 23.29,183.69,  0.00
 23.36,136.83,  0.00
 23.42, 91.41,  0.00
 23.49,193.61,  0.00
 23.56,274.30,  0.00
 23.62,344.83,  0.00
 23.70,344.34,  0.00
 23.76,220.29,  0.00
 23.82,222.36,  0.00
 23.89,212.14,  0.00
 23.96,217.80,  0.00
 24.04,330.32,  0.00
 24.09,122.55,  0.00
 24.16,411.10,  0.00
 24.22,404.09,  0.00
 24.31,340.40,  0.00
 24.36,278.02,  0.00
 24.42,184.10,  0.00
 24.49,188.00,  0.00
 24.57,243.96,  0.00
 24.63,346.21,  0.00
 24.69,305.39,  0.00
 24.76,245.07,  0.00
 24.84,232.26,  0.00
 24.90,245.39,  0.00
 24.96,236.44,  0.00
 25.03,326.70,  0.00
 25.10,256.34,  0.00
 25.17,402.99,  0.00
 25.23,342.57,  0.00
 25.30,268.49,  0.00
 25.36, 55.67,  0.00
 25.44,182.10,  0.00
 25.50,235.58,  0.00
 25.56,237.00,  0.00
 25.64,200.57,  0.00
 25.70,202.66,  0.00
 25.78,194.55,  0.00
 25.83,203.30,  0.00
 25.90,219.69,  0.00
 25.98,251.47,  0.00
 26.03,328.41,  0.00
 26.10,379.34,  0.00
 26.17,253.48,  0.00
 26.23,168.68,  0.00
 26.32, 57.60,  0.00
 26.37, 35.97,  0.00
 26.44, 14.20,  0.00
 26.50,343.01,  0.00
 26.58,316.84,  0.00
 26.64,387.22,  0.00
 26.70,372.31,  0.00
 26.77,323.65,  0.00
 26.85,259.51,  0.00
 26.90,255.15,  0.00
 26.97,200.47,  0.00
 27.04,193.00,  0.00
 27.12,221.88,  0.00
 27.17,257.25,  0.00
 27.24,332.21,  0.00
 27.31,288.60,  0.00
 27.37,266.28,  0.00
 27.45,239.12,  0.00
 27.51,242.53,  0.00
 27.57,236.82,  0.00
 27.64,254.05,  0.00
 27.72,272.27,  0.00
 27.77,105.13,  0.00
 27.84,156.85,  0.00
 27.91,229.44,  0.00
 27.99,331.62,  0.00
 28.04, 94.23,  0.00
 28.11, 26.66,  0.00
 28.18, 11.08,  0.00
 28.24,  2.69,  0.00
 28.33, 12.93,  0.00
 28.38, 44.89,  0.00
 28.44,171.48,  0.00
 28.51,200.42,  0.00
 28.59,218.75,  0.00
 28.65,187.10,  0.00
 28.71,200.93,  0.00
 28.78,225.99,  0.00
 28.86,225.52,  0.00
 28.92,177.81,  0.00
 28.98,167.65,  0.00
 29.05,185.12,  0.00
 29.13,295.61,  0.00
 29.18,385.23,  0.00
 29.25,327.47,  0.00
 29.32,170.15,  0.00
 29.38,122.29,  0.00
 29.47,518.94,  0.00
 29.52,457.76,  0.00
 29.58,462.98,  0.00
 29.65,492.78,  0.00
 29.73,122.36,  0.00
 29.79,135.88,  0.00
 29.85,427.85,  0.00
 29.92,259.89,  0.00
 30.00,219.11,  0.00
 30.06,222.88,  0.00
 30.12,225.56,  0.00
 30.19,264.22,  0.00
 30.25,328.12,  0.00
 30.33,249.17,  0.00
 30.39,238.57,  0.00
 30.45,258.85,  0.00
 30.52,277.27,  0.00
 30.60,275.93,  0.00
 30.66,231.79,  0.00
 30.72,228.02,  0.00
 30.79,235.37,  0.00
 30.87,271.17,  0.00
 30.92,245.94,  0.00
 30.99,263.34,  0.00
 31.06,260.36,  0.00
 31.13,308.33,  0.00
 31.21,294.11,  0.00
 31.26,256.85,  0.00
 31.33,249.46,  0.00
 31.39,251.53,  0.00
 31.47,288.18,  0.00
 31.53,339.43,  0.00
 31.59,283.61,  0.00
 31.66,153.04,  0.00
 31.74, 18.16,  0.00
 31.80,291.87,  0.00
 31.86, 82.17,  0.00
 31.93, 77.40,  0.00
 32.01,225.21,  0.00
 32.06,337.83,  0.00
 32.13,256.96,  0.00
 32.20, 19.33,  0.00
 32.26, 18.39,  0.00
 32.35,  3.16,  0.00
 32.40, 29.16,  0.00
 32.47,  4.61,  0.00
 32.53,180.60,  0.00
 32.61,105.25,  0.00
 32.67, 13.96,  0.00
 32.73, 73.61,  0.00
 32.80,127.78,  0.00
 32.88,171.28,  0.00
 32.94,154.69,  0.00
 33.00,228.72,  0.00
 33.07,203.33,  0.00
 33.14,215.58,  0.00
 33.22,205.76,  0.00
 33.27,223.82,  0.00
 33.34,204.45,  0.00
 33.40,314.35,  0.00
 33.48,116.26,  0.00
 33.54,106.93,  0.00
 33.60,114.67,  0.00
 33.67, 67.01,  0.00
 33.75, 62.55,  0.00
 33.81, 15.91,  0.00
 33.87, 38.46,  0.00
 33.94, 60.64,  0.00
 34.02,  6.71,  0.00
 34.08, 16.89,  0.00
 34.14, 14.43,  0.00
 34.21, 46.91,  0.00
 34.28, 40.19,  0.00
 34.36, 35.69,  0.00
 34.41,333.77,  0.00
 34.47,223.54,  0.00
 34.54,354.21,  0.00
 34.62,349.20,  0.00
 34.68,352.15,  0.00
 34.74,235.08,  0.00
 34.81,230.95,  0.00
 34.89,265.63,  0.00
 34.95,330.52,  0.00
 35.01,237.78,  0.00
 35.08,339.63,  0.00
 35.15,350.69,  0.00
 35.23,318.32,  0.00
 35.28,321.39,  0.00
 35.35,282.54,  0.00
 35.41,207.52,  0.00
 35.49,238.54,  0.00
 35.55,129.99,  0.00
 35.61,164.98,  0.00
 35.68,205.19,  0.00
 35.76,256.23,  0.00
 35.82,140.08,  0.00
 35.88, 24.03,  0.00
 35.95,  6.21,  1.00
 36.03,  4.66,  1.00
 36.08,  1.74,  1.00
 36.15,  1.99,  1.00
 36.22,  2.64,  1.00
 36.28, 10.54,  0.00
 36.37,211.20,  0.00
 36.42,253.06,  0.00
 36.49,276.16,  0.00
 36.55,271.61,  0.00
 36.63,228.02,  0.00
